achalasia-of-cardia.K11_ACHAL	K11_ACHAL
job-coding-builder-building-contractor.22601_53192549	22601_53192549
job-coding-builder-building-contractor.22601_53192534	22601_53192534
job-coding-builders-labourer-building-worker.22601_91212550	22601_91212550
job-coding-builders-labourer-building-worker-hod-carrier.22601_91212536	22601_91212536
job-coding-building-or-civil-engineering-technician-structural-engineering-technician-survey-technician.22601_31143051	22601_31143051
job-coding-building-site-foreman-or-supervisor.22601_81492535	22601_81492535
job-coding-building-site-foreman-or-supervisor.22601_81492548	22601_81492548
job-coding-bus-conductor.22601_62192607	22601_62192607
job-coding-bus-or-coach-driver-minibus-driver.22601_82132606	22601_82132606
job-coding-buyer-purchasingprocurement-officer-supply-officer.22601_35413236	22601_35413236
job-coding-call-centre-operator-sales-order-clerk-telephone-adviser.22601_72113242	22601_72113242
job-coding-care-assistant-home-care-assistant-residential-social-worker-home-carer-nursing-home-assistant.22601_61153104	22601_61153104
job-coding-careers-adviser-or-vocational-guidance-specialist-placement-advisor.22601_35643209	22601_35643209
job-coding-caretaker-janitor-concierge-warden.22601_62322997	22601_62322997
job-coding-carpenter-carpenter-and-joiner-builders-joiner.22601_53152546	22601_53152546
job-coding-carpenter-carpenter-and-joiner-builders-joiner.22601_53152529	22601_53152529
maximum-heart-rate-during-fitness-test.6033_irnt	6033_irnt
job-coding-chartered-surveyor-building-surveyor-land-surveyor.22601_24342599	22601_24342599
maximum-workload-during-fitness-test.6032_irnt	6032_irnt
job-coding-chartered-surveyor-building-surveyor-land-surveyor-miningminerals-surveyor-riverwater-surveyor-surveyor-and-estimator-topographer-property-surveyor.22601_24343291	22601_24343291
mean-corpuscular-haemoglobin.30050_irnt	30050_irnt
job-coding-charteredcertified-accountant-auditor-company-accountant-articledaudit-clerk-official-receiver.22601_24213281	22601_24213281
mean-corpuscular-haemoglobin-concentration.30060_irnt	30060_irnt
job-coding-chef-cook-caterer.22601_54343385	22601_54343385
mean-corpuscular-volume.30040_irnt	30040_irnt
job-coding-chef-cook-caterer.22601_54342896	22601_54342896
mean-platelet-thrombocyte-volume.30100_irnt	30100_irnt
job-coding-chemical-engineer-plastics-engineer-pharmaceutical-engineer.22601_21253043	22601_21253043
mean-reticulocyte-volume.30260_irnt	30260_irnt
job-coding-chemist-analytic-developmental-industrial-research.22601_21113020	22601_21113020
mean-signal-to-noise-ratio-snr-left.4233_irnt	4233_irnt
job-coding-childminder-au-pair-childrens-nanny.22601_61223105	22601_61223105
mean-signal-to-noise-ratio-snr-right.4244_irnt	4244_irnt
job-coding-childminder-au-pair-childrens-nanny.22601_61223417	22601_61223417
mean-sphered-cell-volume.30270_irnt	30270_irnt
job-coding-chiropodist-podiatrist.22601_32153081	22601_32153081
mean-time-to-correctly-identify-matches.20023_irnt	20023_irnt
job-coding-civil-engineer.22601_21212592	22601_21212592
job-coding-civil-engineer-transport-engineer-structural-engineer-borough-surveyor.22601_21213038	22601_21213038
job-coding-civil-service-administrative-officer-or-assistant-or-clerk-tax-collector-prison-service-clerk-law-courts-clerk.22601_41123205	22601_41123205
job-coding-civil-service-executive-officer-revenuetax-executive-or-officer-fraud-inspector-or-officer-job-centre-adviser.22601_41113204	22601_41113204
job-coding-civil-service-senior-manager-outside-the-senior-civil-service-former-grades-6-and-7.22601_24413202	22601_24413202
job-coding-cleaner-in-restaurants-bars-pubs-hotels-and-other-accommodation-chambermaid.22601_92333396	22601_92333396
job-coding-clergymanwoman-any-religious-officerleader.22601_24443114	22601_24443114
job-coding-coal-worker-or-miner-surface-or-underground.22601_81222848	22601_81222848
job-coding-collectordoor-to-door-salesperson-canvasser-credit-agent-insurance-agent-travelling-salesperson-commercial-traveller.22601_71213337	22601_71213337
job-coding-communicationtelecommunications-operator-radiotelex-operator-radar-operator.22601_41423309	22601_41423309
job-coding-community-worker-day-centre-officer-youth-leader-youth-worker-parish-worker-bail-support-officer.22601_32313110	22601_32313110
job-coding-company-secretary-club-secretary.22601_42143301	22601_42143301
job-coding-compositor-originator-lithographic-plate-maker-paste-up-artist-stereotyper-typesetter.22601_54212886	22601_54212886
job-coding-computer-engineer-computer-service-or-maintenance-technician.22601_52452948	22601_52452948
job-coding-computer-installation-and-maintenance-engineerrepairerinstallertechnician.22601_52453063	22601_52453063
job-coding-counter-clerk-bank-clerk-cashier-post-office-clerk.22601_41233254	22601_41233254
job-coding-credit-controllersupervisor.22601_41213252	22601_41213252
job-coding-credit-controllersupervisor.22601_41213240	22601_41213240
job-coding-customer-care-adviserofficerassistant-store-guide-customer-relations-officerrepresentative.22601_72123243	22601_72123243
job-coding-customer-care-adviserofficerassistant-store-guide-customer-relations-officerrepresentative.22601_72123325	22601_72123325
job-coding-customer-carerelations-manager-help-desk-manager.22601_11423230	22601_11423230
job-coding-customer-carerelations-manager-help-desk-manager.22601_11423324	22601_11423324
job-coding-database-assistantclerk-computer-clerk-data-entry-clerkprocessor-book-keepingaccounts-machinist.22601_41363318	22601_41363318
job-coding-database-assistantclerk-computer-clerk-data-entry-clerkprocessor-book-keepingaccounts-machinist.22601_41363428	22601_41363428
job-coding-day-nursery-manager-or-owner.22601_23193429	22601_23193429
job-coding-dental-nurse-or-assistant.22601_61133076	22601_61133076
job-coding-dentist-dental-surgeon-orthodontist-periodontist.22601_22153070	22601_22153070
job-coding-design-and-development-engineer-ergonomist.22601_21263044	22601_21263044
job-coding-dinner-lady.22601_92233412	22601_92233412
job-coding-director-or-chief-executive-of-private-organisationcompany-company-chairman-or-president-general-manager.22601_11123211	22601_11123211
job-coding-draughtsperson-cartographer-designer-detailerdraughtsperson-drawing-office-checker-engineering-draughtsperson.22601_31223293	22601_31223293
job-coding-driving-instructor-hgv-instructor.22601_82152612	22601_82152612
job-coding-education-officer-director-of-education-curriculum-development-officer.22601_23133420	22601_23133420
job-coding-educational-assistant-classroom-assistant-special-needs-helper.22601_61243409	22601_61243409
job-coding-electrical-engineer-generating-engineer-power-engineer-power-transmission-engineer.22601_21233041	22601_21233041
job-coding-electrical-engineer-generating-engineer-power-engineer-power-transmission-engineer.22601_21232866	22601_21232866
job-coding-electrical-or-electronics-technician-signals-officer.22601_31123049	22601_31123049
job-coding-electricalelectronics-technician.22601_31122951	22601_31122951
job-coding-electrician-electrical-engineer-electrical-contractor.22601_52412944	22601_52412944
job-coding-electrician-electrical-fitter.22601_52412543	22601_52412543
job-coding-electronic-engineer-maintenance-alarm-engineer-office-equipment-engineer.22601_52492949	22601_52492949
job-coding-electronics-engineer-broadcasting-engineer-microwave-engineer-radar-engineer-radio-engineer.22601_21243042	22601_21243042
job-coding-emergency-services-control-roomradio-operatorofficer.22601_41423445	22601_41423445
job-coding-engineering-technician-engineers-assistant-commissioning-engineer-contracts-engineer-technician-engineer-industrial-radiographer.22601_31133050	22601_31133050
job-coding-estate-agent-auctioneer-land-agent-letting-agent.22601_35443245	22601_35443245
job-coding-estimator-valuer-building-estimatorassessor-insurance-assessor-costing-engineer-surveyorvaluer-lottery-officer-rating-officer-marinenaval-surveyor.22601_35313264	22601_35313264
job-coding-factoryworks-manager-shift-manager.22601_11212693	22601_11212693
job-coding-farmer-farming-contractor-herd-manager-smallholder-bailiff.22601_51112476	22601_51112476
job-coding-farmhand-farm-labourer-herdsman-shepherd-dairyman-pigman.22601_91112478	22601_91112478
job-coding-filing-clerk-records-assistantclerk.22601_41313272	22601_41313272
job-coding-filing-clerk-records-assistantclerk.22601_41313256	22601_41313256
job-coding-filing-clerk-records-assistantclerk-technical-clerk-lottery-clerk-courts-administrator-checker-census-enumerator-progressdocument-controller.22601_41313317	22601_41313317
job-coding-financial-adviseragentconsultant-investment-analyst-mortgage-consultant-financier-pension-advisor.22601_35343267	22601_35343267
job-coding-financial-controller-accountingaudit-technician-trust-officer.22601_35373270	22601_35373270
job-coding-financial-services-manager-chartered-secretary-banker-merchant-or-investment-banker-finance-director-tax-manager.22601_11313221	22601_11313221
job-coding-fire-service-officer-leading-fire-officer-and-below.22601_33133440	22601_33133440
job-coding-furniture-makerfitter-cabinet-maker.22601_54922904	22601_54922904
job-coding-further-education-teaching-professional-college-lecturerprofessor.22601_23123400	22601_23123400
job-coding-gardener-groundsmangroundswoman-park-keeper-landscape-gardener-greenkeeper-turf-cutter.22601_51132488	22601_51132488
job-coding-general-office-assistantclerk-clerical-officer-clerk-typist-office-supervisor-pressnewspaper-correctorreader.22601_41503307	22601_41503307
job-coding-graphic-designer-commercial-artist-desktop-publishing-artist-illuminator.22601_34213150	22601_34213150
job-coding-hairdresser-barber-shampooist-hair-stylist.22601_62213359	22601_62213359
job-coding-hairdressing-or-beauty-salon-manager-or-proprietorowner.22601_12333358	22601_12333358
job-coding-health-and-safety-officer-occupational-hygienist-safety-adviser.22601_35672595	22601_35672595
microalbumin-in-urine.30500_irnt	30500_irnt
job-coding-health-and-safety-officer-occupational-hygienist-safety-adviser-road-safety-officer.22601_35673467	22601_35673467
job-coding-health-visitor.22601_32113077	22601_32113077
job-coding-healthcare-practice-manager-dental-practice-manager-chiropody-practice-managerowner.22601_11833099	22601_11833099
job-coding-heating-engineer-gas-service-engineer-air-conditioning-engineer.22601_53142540	22601_53142540
job-coding-heavy-goods-vehicle-hgv-driver-lorry-or-truck-driver-tanker-driver-haulage-driver.22601_82112603	22601_82112603
job-coding-higher-education-teaching-professional-university-lecturerprofessor-including-collegeuniversity-headvice-chancellor.22601_23113399	22601_23113399
job-coding-hospital-manager-health-service-manager-clinical-manager-nursing-service-manager.22601_11813097	22601_11813097
job-coding-hotel-or-guesthouse-ownermanager-hostel-warden-holiday-camp-manager-caravancamping-site-ownermanager.22601_12213392	22601_12213392
job-coding-house-cleaner-domestic-chambermaid-charlady.22601_92332985	22601_92332985
job-coding-housekeeper-butler-valet-cook-housekeeper-companion-housekeeper.22601_62312996	22601_62312996
job-coding-houseparent-child-careworker-residential-warden-sheltered-accommodation-warden-foster-parent.22601_61143103	22601_61143103
job-coding-housing-officer-welfare-officer-refugerescue-worker-probation-assistant-nspcc-inspector-day-centre-supervisor.22601_32323111	22601_32323111
job-coding-ict-or-it-manager-systemsdata-processing-manager-telecom-manager.22601_11363057	22601_11363057
job-coding-import-agent-export-agent-shipping-agent.22601_35363269	22601_35363269
job-coding-insurance-underwriter-insurance-inspector-insurance-account-handler.22601_35333259	22601_35333259
job-coding-insurance-underwriter-insurance-inspector-insurance-account-handler.22601_35333266	22601_35333266
job-coding-it-operations-technician-computer-operator-or-technician-database-manager-network-or-web-technician-web-master-systems-administrator-or-officer.22601_31313060	22601_31313060
job-coding-it-strategy-or-planning-professional-computer-consultant-software-consultant.22601_21313058	22601_21313058
job-coding-it-user-support-technician-help-desk-or-helpline-operator-computing-support-technician-computing-systems-support-officer.22601_31323061	22601_31323061
job-coding-journalist-reporter-newspaper-correspondent-sports-writer-newspaper-or-magazine-editor.22601_34313159	22601_34313159
job-coding-judges-or-barristers-clerk-conveyancer-data-protection-officer-legal-assistant-or-executive-coroners-officer-land-registrar-tribunal-member.22601_35203279	22601_35203279
monocyte-count.30130_irnt	30130_irnt
job-coding-kitchen-canteen-or-catering-assistant-washer-up-kitchen-porter-counter-assistant.22601_92233387	22601_92233387
monocyte-percentage.30190_irnt	30190_irnt
job-coding-laboratory-technician.22601_31113086	22601_31113086
job-coding-laboratory-technician-scientific-assistant-cytology-screener-hospital-medical-or-health-technician.22601_31113033	22601_31113033
job-coding-legal-secretary.22601_42123299	22601_42123299
job-coding-legal-secretary-clerk-or-aid-clerk.22601_42123280	22601_42123280
job-coding-librarian-assistant-librarian.22601_24513314	22601_24513314
job-coding-librarian-assistant-librarian.22601_24513424	22601_24513424
job-coding-librarian-assistant-librarian.22601_24513035	22601_24513035
job-coding-library-assistantclerk.22601_41353425	22601_41353425
mothers-age-at-death.3526_irnt	3526_irnt
job-coding-library-assistantclerk-press-cuttings-clerk.22601_41353316	22601_41353316
job-coding-local-government-administrative-officer-or-assistant-or-clerk.22601_41133206	22601_41133206
job-coding-machine-operator-plastics-moulder-foreman.22601_81162743	22601_81162743
job-coding-machine-operator-processor-foreman.22601_81112700	22601_81112700
job-coding-machine-operator-processor-foreman.22601_81212774	22601_81212774
job-coding-machine-operator-processor-paint-maker-foreman.22601_81142763	22601_81142763
job-coding-management-accountant-works-accountant-cost-accountant.22601_24223282	22601_24223282
job-coding-management-consultant-actuary-economist-statistician-statistical-controllerassistant-business-analyst-demographer-economic-forecaster.22601_24233283	22601_24233283
job-coding-management-information-officer-conferenceevents-co-ordinatororganiser-exhibition-officer-work-study-engineerofficeranalyst-contract-adviseragent-election-agent-business-system-analyst.22601_35393271	22601_35393271
job-coding-manager-in-construction-clerk-of-works-site-manager-contracts-manager-highways-manager.22601_11222591	22601_11222591
job-coding-manager-in-mining-energy-production-or-water-supply.22601_11232861	22601_11232861
job-coding-manager-of-theatre-cinema-museum.22601_12253173	22601_12253173
job-coding-marketing-research-professional-marketing-consultant-promotions-or-advertising-consultant-fundraiser-consultant-appeals-organiser.22601_35433238	22601_35433238
job-coding-mathematician.22601_21133024	22601_21133024
job-coding-mechanical-engineer.22601_21222679	22601_21222679
job-coding-mechanical-engineer.22601_21222865	22601_21222865
job-coding-mechanical-engineer-automobile-engineer-aeronautical-engineer-locomotive-or-marine-engineer-welding-engineer.22601_21223040	22601_21223040
job-coding-medical-doctor-general-practitioner-hospital-consultant.22601_22113066	22601_22113066
job-coding-medical-radiographer-x-ray-operator-sonographer.22601_32143084	22601_32143084
job-coding-medical-secretary.22601_42113298	22601_42113298
job-coding-medical-secretary.22601_42113094	22601_42113094
job-coding-medical-technician-audiologist-cardiographer-prosthesist-ecg-technician-eeg-technician.22601_32183085	22601_32183085
job-coding-merchandiser-window-dresser.22601_71253330	22601_71253330
neuroticism-score.20127_irnt	20127_irnt
job-coding-metal-machine-setter-tool-setter-setter-operator-centre-lathe-turner.22601_52212927	22601_52212927
neutrophill-count.30140_irnt	30140_irnt
job-coding-metal-making-or-metal-treating-process-worker-machine-operator-furnaceman.22601_81172834	22601_81172834
neutrophill-percentage.30200_irnt	30200_irnt
job-coding-metal-plate-worker-boilermaker-plater-welder-caulker-burner-shipwright-riveter.22601_52142924	22601_52142924
job-coding-metal-working-machine-operator-fettler-grinder-metal-cutter-metal-machinist-metal-polisher-press-operator-shot-blaster-tool-room-machinist.22601_81252835	22601_81252835
job-coding-metal-working-production-or-maintenance-fitter-machine-fitter-fitter-and-turner-bench-fitter-plant-fitter.22601_52232929	22601_52232929
job-coding-midwife.22601_32123074	22601_32123074
job-coding-motor-mechanic-auto-engineer.22601_52312660	22601_52312660
job-coding-motor-mechanic-diesel-fitter-auto-engineer.22601_52312934	22601_52312934
job-coding-motor-vehicleindustrial-machinery-fitter.22601_52232941	22601_52232941
job-coding-musician-bandsman-instrumentalist-bellringer-composer-conductor-song-writer.22601_34153170	22601_34153170
job-coding-non-commissioned-officers-or-other-rank-of-armed-forces.22601_33113434	22601_33113434
nitrogen-dioxide-air-pollution-2005.24016_irnt	24016_irnt
job-coding-nurse-of-any-kind-at-any-level.22601_32113072	22601_32113072
nitrogen-dioxide-air-pollution-2006.24017_irnt	24017_irnt
job-coding-nursery-nurseassistantsupervisor-creche-assistant.22601_61213416	22601_61213416
nitrogen-dioxide-air-pollution-2007.24018_irnt	24018_irnt
job-coding-nursery-workerhand-horticultural-worker-fruit-picker-mushroom-picker-and-other-pickers.22601_91192487	22601_91192487
nitrogen-dioxide-air-pollution-2010.24003_irnt	24003_irnt
job-coding-nurseryman-market-gardener-horticulturist.22601_51122486	22601_51122486
nitrogen-oxides-air-pollution-2010.24004_irnt	24004_irnt
job-coding-nursing-auxiliary-or-assistant-steriliser-of-medical-equipment-occupational-therapy-assistant-phlebotomist-physiotherapy-assistant-ward-orderly-ward-assistant.22601_61113073	22601_61113073
job-coding-occupational-therapist.22601_32223079	22601_32223079
job-coding-office-manager-accountpayrolls-manager-administration-manager-litigationsolicitors-office-manager.22601_11523251	22601_11523251
job-coding-officer-in-armed-forces.22601_11713433	22601_11713433
job-coding-officer-of-ngo-trade-union-organiserofficial-charity-administrator-secretary-of-research-or-charity-or-political-or-professional-or-trade-association-or-trade-union.22601_41143216	22601_41143216
job-coding-ophthalmic-optician-optometrist.22601_22143069	22601_22143069
job-coding-other-animal-care-work-including-dog-beautician-dog-walker-dog-warden-kennel-or-cattery-assistant-groom-huntsman-stable-worker-zoo-keeper.22601_61392517	22601_61392517
job-coding-other-assembler-routine-operative.22601_81392831	22601_81392831
job-coding-other-assembler-routine-operative.22601_81392801	22601_81392801
job-coding-other-assembler-routine-operative.22601_81392812	22601_81392812
job-coding-other-assembler-routine-operative.22601_81392781	22601_81392781
job-coding-other-cleaner-including-in-offices-hospitals-schools-shops-warehouses-ships-aircraft-stations.22601_92332986	22601_92332986
job-coding-other-electrical-or-electronics-technician-including-alarm-engineer-office-machinery-engineer-or-mechanic.22601_52493053	22601_52493053
job-coding-other-engineering-professional.22601_21293047	22601_21293047
job-coding-other-engineering-technician-including-materials-technician-technical-assistant-technical-officer.22601_31193055	22601_31193055
job-coding-other-general-office-clerical-tasks-including-office-junior-office-worker-photocopyprint-room-operator-office-machinist.22601_92193312	22601_92193312
job-coding-other-legal-professional-including-court-clerk-legal-officeradvisor-clerk-to-the-justices-legal-services-registrar.22601_24193278	22601_24193278
job-coding-other-researchers-including-in-broadcasting-journalism-photography-printing-and-publishing.22601_23293031	22601_23293031
job-coding-other-sales-occupations-including-bill-poster-ticket-checker.22601_92593346	22601_92593346
job-coding-other-science-technician-materials-technician-technical-assistant-technical-officer.22601_31193034	22601_31193034
job-coding-other-teaching-professional-including-private-tutor-tefl-teaching-english-as-a-foreign-language-teacher-tutor-at-adult-education-centre-etc.22601_23193405	22601_23193405
job-coding-other-therapist-including-acupuncturist-aromatherapist-dietician-herbalist-homeopath-hypnotherapist-masseur-orthoptist-osteopath-psychotherapist.22601_32293082	22601_32293082
job-coding-other-work-handling-or-storing-goods-including-store-keeper-warehouseman-order-assembler-goods-despatcher.22601_91493355	22601_91493355
job-coding-other-work-in-these-industries-attendant-hand-mate-assistant-handler-loader.22601_91392859	22601_91392859
job-coding-other-work-in-this-industry-factory-hand-mate-assistant-handler-loader.22601_91392832	22601_91392832
job-coding-other-work-in-this-industry-factory-hand-mate-assistant-handler-loader-finisher.22601_91392721	22601_91392721
job-coding-packer-bottler-canner-filler-wrapper-foreman.22601_91342701	22601_91342701
job-coding-painter-decorator.22601_53232556	22601_53232556
job-coding-pensions-and-insurance-clerkadministrator-claims-handler.22601_41323255	22601_41323255
job-coding-personnel-or-industrial-relations-officer-recruitment-consultant.22601_35623246	22601_35623246
job-coding-personnel-or-industrial-relations-officer-recruitment-consultant.22601_35623213	22601_35623213
job-coding-personnel-or-industrial-relations-officer-recruitment-consultant.22601_35623207	22601_35623207
job-coding-personnel-or-industrial-relations-officer-recruitment-consultant.22601_35623273	22601_35623273
job-coding-personnel-or-industrial-relations-officer-recruitment-consultant.22601_35623217	22601_35623217
job-coding-personnel-human-resources-training-or-industrial-relations-managerdirector-recruitment-managerdirector.22601_11353225	22601_11353225
job-coding-pharmaceutical-dispenser-pharmacy-technician.22601_32173088	22601_32173088
job-coding-pharmacist-pharmacologist-pharmaceutical-chemist.22601_22133068	22601_22133068
job-coding-photographer-and-audio-visual-equipment-operator-cameraman-film-technician-sound-or-light-engineer-projectionist.22601_34343161	22601_34343161
job-coding-physicist-astronomer-geologist-geophysicist-meteorologist-oceanographer-seismologist.22601_21133023	22601_21133023
job-coding-physiotherapist.22601_32213078	22601_32213078
job-coding-pipe-fitter.22601_52162926	22601_52162926
job-coding-planning-and-quality-control-engineer-industrial-engineer-quality-engineer.22601_21283046	22601_21283046
job-coding-plant-maintenance-fitter-machine-fitter-mechanic-fitter.22601_52232856	22601_52232856
job-coding-playgroup-or-playschool-leader-or-assistant.22601_61233408	22601_61233408
job-coding-plumber.22601_53142539	22601_53142539
job-coding-police-officer-inspector-or-above.22601_11723441	22601_11723441
job-coding-police-officer-sergeant-or-below.22601_33123442	22601_33123442
job-coding-postal-worker-postman-mail-sorter-messenger-courier-mailroom-clerk-post-sorter-leafletcircular-distributor-newspaperparcel-deliverer.22601_92113311	22601_92113311
job-coding-postal-worker-postman-mail-sorter-messenger-courier-mailroom-clerk-post-sorter-leafletcircular-distributor-newspaperparcel-deliverer.22601_92113352	22601_92113352
job-coding-primary-junior-school-teacher-or-teaching-professional-nursery-school-teacher-including-head-teacher.22601_23153402	22601_23153402
job-coding-printer-master-printer.22601_54222887	22601_54222887
job-coding-printing-machine-operator-printers-assistant.22601_91332890	22601_91332890
job-coding-prison-service-officer-below-principal-officer-prison-warder.22601_33143448	22601_33143448
job-coding-probation-officer-community-service-officer.22601_24433109	22601_24433109
job-coding-production-and-process-engineer.22601_21273045	22601_21273045
job-coding-production-and-process-engineer.22601_21272684	22601_21272684
job-coding-production-works-or-maintenance-manager.22601_11212692	22601_11212692
job-coding-propertyhousingland-manager.22601_12313231	22601_12313231
job-coding-psychologist-psychometrist.22601_22123067	22601_22123067
job-coding-public-relations-officer-press-officer-information-officer.22601_34333162	22601_34333162
job-coding-public-relations-officer-press-officer-information-officer-publicity-assistant.22601_34333239	22601_34333239
job-coding-public-service-highersenior-executive-officer-hospital-administrator.22601_35613203	22601_35613203
job-coding-publican-or-manager-of-licensed-premises-licensee-wine-bar-manager.22601_12243390	22601_12243390
job-coding-purchasing-managerdirector-not-retail-supplies-manager.22601_11333223	22601_11333223
job-coding-quality-assurance-manager-quality-control-manager.22601_11412694	22601_11412694
job-coding-quality-assurance-technician-or-co-ordinator.22601_31153052	22601_31153052
job-coding-quality-assurance-technicianco-ordinator.22601_31152695	22601_31152695
job-coding-quantity-surveyor-quantity-survey-technician.22601_24332598	22601_24332598
job-coding-receptionist-doctorsdental-receptionist.22601_42163303	22601_42163303
job-coding-receptionist-doctorsdental-receptionist.22601_42163095	22601_42163095
job-coding-registrar-or-senior-administrator-of-educational-establishment-bursar-registrar-university-administrator.22601_23173422	22601_23173422
job-coding-research-and-development-manager.22601_11373228	22601_11373228
job-coding-research-or-laboratory-manager.22601_11373019	22601_11373019
job-coding-researcher-in-broadcasting-journalism-photography-printing-and-publishing.22601_23293164	22601_23293164
job-coding-residential-manager-day-care-manager-nursing-home-manager-retirement-home-manager-convalescent-home-manager.22601_11853100	22601_11853100
job-coding-restaurant-or-catering-manager-restaurateur-canteen-manager-takeaway-food-shop-manager.22601_12233383	22601_12233383
job-coding-retail-or-wholesale-shop-manager-showroom-manager.22601_11633322	22601_11633322
job-coding-retailshop-cashier-check-out-operator-petrol-station-attendant-restaurant-cashier.22601_71123329	22601_71123329
job-coding-riverwater-surveyor-surveyor-and-estimator-topographer-property-surveyor.22601_24342600	22601_24342600
job-coding-road-transporttraffic-clerk-distribution-clerkcontroller-shipping-clerkcontroller-fleet-controlleradministrator-traffic-officer-road-haulage.22601_41342670	22601_41342670
job-coding-road-transporttraffic-manager-haulage-contractormanager-taxicourier-service-manager-buscoach-station-manager-removals-manager-shipping-manager.22601_11612669	22601_11612669
job-coding-roundsman-or-woman-van-salesperson-ice-cream-seller-milkman-mobile-shop-salesperson.22601_71233339	22601_71233339
job-coding-sales-assistant-retailshop-assistant-counter-assistant-sub-post-office-assistant-takeaway-food-worker.22601_71113328	22601_71113328
job-coding-sales-or-marketing-managerdirector-exportimport-manager-business-development-manager-advertisingcommercial-manager.22601_11323222	22601_11323222
job-coding-sales-or-marketing-representative-manufacturers-agent-or-representative-or-salesmanwoman.22601_35423237	22601_35423237
job-coding-sales-room-assistant-wine-merchants-cellar-man-orderstock-filler-stockstore-keeper-lorrywarehouse-loadercheckerweigher-goods-porter-customs-attendant.22601_91493353	22601_91493353
job-coding-school-inspector-education-inspector.22601_23133421	22601_23133421
job-coding-school-mid-day-assistant-dinner-or-school-meals-supervisor-or-assistant-lunchtime-supervisor.22601_92443411	22601_92443411
job-coding-school-secretary.22601_42133300	22601_42133300
job-coding-school-secretary-clerical-assistant-school-registry-assistant.22601_42133423	22601_42133423
job-coding-school-secretary-clerical-assistant-school-registry-assistant.22601_42133407	22601_42133407
job-coding-schoolstudent-counsellor-school-attendance-officer.22601_32323410	22601_32323410
job-coding-scientific-researcher-scientific-officer-medical-research-associate-experimental-officer.22601_23213026	22601_23213026
job-coding-secondary-school-teacher-or-teaching-professional-including-head-teacher.22601_23143401	22601_23143401
job-coding-security-guardofficer-night-watchman-store-detective-private-detective-bodyguard-gateman-door-keeper-cctv-operator-patrolman.22601_92413455	22601_92413455
job-coding-senior-officer-in-fire-service-including-captain-commander-controller-firemaster-inspector-salvage-officer-station-officer-superintendent.22601_11733439	22601_11733439
job-coding-senior-official-in-central-government-including-members-of-the-senior-civil-service-and-the-equivalent-in-the-diplomatic-service-mps-meps.22601_11113200	22601_11113200
job-coding-senior-official-in-local-government-including-parish-or-town-or-county-chief-clerk-chief-or-superintendent-rate-collector-chief-executive-or-director-councillor.22601_11133201	22601_11133201
job-coding-senior-official-of-special-interest-organisation-including-general-manager-or-director-or-executive-or-general-secretary-of-charity-or-trade-unionassociation-or-religious-organisation.22601_11143212	22601_11143212
job-coding-sewing-machinist.22601_81372713	22601_81372713
job-coding-sheet-metal-worker-panel-beater-metal-finisher-coppersmith.22601_52132923	22601_52132923
job-coding-shelf-filler-or-stacker-stock-handler-display-assistant.22601_92513331	22601_92513331
job-coding-ship-merchant-navy-or-hovercraft-captainofficernavigator-master-mariner-skipper.22601_35132647	22601_35132647
job-coding-ships-engineer-ships-purser.22601_35132648	22601_35132648
job-coding-shopkeeper-shop-owner-newsagent-wholesaleretail-dealer.22601_12343321	22601_12343321
job-coding-social-science-researcher-anthropologist-sociologist-archaeologist-behavioural-scientist-epidemiologist-government-survey-officer.22601_23223027	22601_23223027
job-coding-social-services-manager-community-care-manager-welfare-services-manager.22601_11843115	22601_11843115
job-coding-social-worker-child-careprotection-officer-adoption-officer-mental-health-officer-almoner-family-case-worker.22601_24423108	22601_24423108
job-coding-software-professional-analyst-programmer-computer-programmer-software-analyst-or-engineer-systems-designer-or-programmer.22601_21323059	22601_21323059
job-coding-solicitor-lawyer-barrister-judge-coroner-articled-clerk-attorney-advocate-stipendiary-magistrate-fiscalcrown-prosecutor-sheriff-scottish-courts-legal-services-recorder.22601_24113277	22601_24113277
job-coding-special-needs-teaching-professional-including-head-teacher.22601_23163403	22601_23163403
job-coding-speech-and-language-therapist.22601_32233080	22601_32233080
job-coding-sports-centre-manager-riding-school-owner-sports-ground-manager-baths-manager.22601_12253140	22601_12253140
job-coding-sports-coach-instructor-trainer-or-manager.22601_34423138	22601_34423138
job-coding-statistician.22601_24233025	22601_24233025
job-coding-stock-control-clerk-stock-controller-progressproductionstock-chaser-warehouse-clerk-materials-controllerco-ordinator-stores-officer.22601_41333350	22601_41333350
job-coding-storage-manager-stock-control-manager-container-terminal-manager.22601_11623349	22601_11623349
job-coding-storeswarehouse-porter.22601_91493354	22601_91493354
job-coding-tailor-dressmaker-milliner.22601_54142880	22601_54142880
job-coding-taxation-accountant-or-adviser-or-consultant-or-practitioner.22601_35353268	22601_35353268
job-coding-taxi-or-cab-driver-chauffeur-hearse-driver.22601_82142611	22601_82142611
job-coding-telecommunication-engineer-telephone-engineer-telephone-technician.22601_52422945	22601_52422945
job-coding-telephonist-telephoneswitchboard-operator.22601_41413308	22601_41413308
job-coding-television-or-radio-engineer-video-engineer.22601_52442947	22601_52442947
job-coding-television-video-audio-or-radio-engineerrepairerinstallertechnician.22601_52443062	22601_52443062
job-coding-textile-machine-operator-assembler-spinner-foreman.22601_81132710	22601_81132710
job-coding-tool-maker-tool-fitter-jig-and-tool-fitter-marker-out-die-sinker.22601_52222928	22601_52222928
job-coding-town-planner-development-officer.22601_24323289	22601_24323289
